N,Unsorted Table Map (AVG),Sorted Table (Best),Sorted Table (AVG/WORST),ChainHashMap,ProbeHashMap,BST(BEST),BST(AVG),BSTWORST,nlogn,n^2,,Unsorted Table Map (AVG)- Time/Expected,Sorted Table (Best)-Time/Expected,Sorted Table (AVG/WORST)-Time/Expected,ChainHashMap-Time/Expected,ProbeHashMap-Time/Expected,BST(BEST)-Time/Expected,BST(AVG)-Time/Expected,BSTWORST-Time/Expected
,,,,,,,,,,,,BSTB,5.86E-07,7.31E-06,,,,,
,,,,,,,,,,,,BSTA,1.77E-07,2.51E-07,,,,,
,,,,,,,,,,,,BSTW,4.82E-06,7.13E-06,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Time/Expected Time,,,,,,,
,,,,,,,,,,,,USTMA,9.23E-07,1.72E-06,,,,,
,,,,,,,,,,,,STMB,4.24E-07,8.54E-07,,,,,
,,,,,,,,,,,,STMW,4.05E-06,1.16E-05,,,,,
,,,,,,,,,,,,CHM,3.47E-05,1.04E-04,,,,,
,,,,,,,,,,,,PHM,2.20E-05,6.82E-05,,,,,
,,,,,,,,,,,,BSTB,9.68E-07,9.73E-07,,,,,
,,,,,,,,,,,,BSTA,3.19E-07,6.74E-07,,,,,
,,,,,,,,,,,,BSTW,4.71E-09,4.71E-09,,,,,
